action,pair,amount,price,total_usdt,initial_usd,current_usd,profit
buy,DATA/BTC,2.8441791275372264e-16,61145.99,1.5651913364153999e-10,,,
buy,DATA/BTC,2.5593526960513117e-16,61155.75,1.40867220277386e-10,,,
buy,DATA/BTC,2.302079597886987e-16,61191.29,1.267804982496474e-10,,,
buy,DATA/BTC,2.0726323889086548e-16,61168.83,1.1410244842468265e-10,,,
buy,DATA/BTC,1.8577708827394425e-16,61419.01,1.0269220358221438e-10,,,
buy,DATA/BTC,1.6739626810378832e-16,61346.77,9.242298322399293e-11,,,
buy,DATA/BTC,1.4999761950002342e-16,61616.3,8.318068490159364e-11,,,
buy,DATA/BTC,1.3553092949304003e-16,61373.95,7.486261641143427e-11,,,
buy,DATA/BTC,1.2191395353236718e-16,61406.11,6.737635477029085e-11,,,
buy,DATA/BTC,1.0994112947580447e-16,61284.03,6.063871929326176e-11,,,
buy,DATA/BTC,9.902462488284958e-17,61236.0,5.457484736393559e-11,,,
buy,DATA/BTC,8.899136967018164e-17,61326.0,4.911736262754203e-11,,,
buy,DATA/BTC,7.988641374592094e-17,61484.0,4.4205626364787823e-11,,,
buy,DATA/BTC,7.186399334901756e-17,61512.9,3.9785063728309044e-11,,,
buy,DATA/BTC,6.477976661461017e-17,61415.88,3.580655735547814e-11,,,
buy,DATA/BTC,5.865671457968061e-17,61044.26,3.222590161993033e-11,,,
buy,DATA/BTC,5.26825267613705e-17,61170.0,2.9003311457937296e-11,,,
buy,DATA/BTC,4.756437752544125e-17,60976.96,2.6102980312143564e-11,,,
buy,DATA/BTC,4.2890940482952007e-17,60858.96,2.3492682280929207e-11,,,
buy,DATA/BTC,3.819694313163435e-17,61504.09,2.1143414052836288e-11,,,
buy,DATA/BTC,3.3919356921024435e-17,62334.36,1.902907264755266e-11,,,
buy,DATA/BTC,3.031691023216534e-17,62767.19,1.7126165382797396e-11,,,
buy,DATA/BTC,2.715826152458309e-17,63060.61,1.5413548844517657e-11,,,
buy,DATA/BTC,2.459293990048879e-17,62674.69,1.3872193960065891e-11,,,
buy,DATA/BTC,2.211131399024083e-17,62737.99,1.2484974564059302e-11,,,
buy,DATA/BTC,1.9866603978228804e-17,62844.03,1.1236477107653372e-11,,,
buy,DATA/BTC,1.7898276460327075e-17,62779.66,1.0112829396888035e-11,,,
buy,DATA/BTC,1.6116607281214976e-17,62747.88,9.101546457199231e-12,,,
buy,DATA/BTC,1.4446440521252073e-17,63002.0,8.191391811479307e-12,,,
buy,DATA/BTC,1.2965393680514659e-17,63178.89,7.372252630331376e-12,,,
buy,DATA/BTC,1.1737291466557709e-17,62810.51,6.635027367298239e-12,,,
buy,DATA/BTC,1.0567534576955127e-17,62786.9,5.971524630568415e-12,,,
buy,DATA/BTC,9.452698128413723e-18,63172.7,5.374372167511574e-12,,,
buy,DATA/BTC,8.518326237087204e-18,63091.88,4.8369349507604166e-12,,,
buy,DATA/BTC,7.689665520901826e-18,62901.76,4.353241455684375e-12,,,
buy,DATA/BTC,6.935226152117851e-18,62770.0,3.9179173101159374e-12,,,
buy,DATA/BTC,6.224835887771908e-18,62940.09,3.5261255791043437e-12,,,
buy,DATA/BTC,5.61350705468906e-18,62815.02,3.1735130211939094e-12,,,
buy,DATA/BTC,5.0653012109171114e-18,62652.01,2.8561617190745183e-12,,,
buy,DATA/BTC,4.5667905979239206e-18,62541.99,2.5705455471670664e-12,,,
buy,DATA/BTC,4.113632416556699e-18,62488.46,2.31349099245036e-12,,,
buy,DATA/BTC,3.698613677858143e-18,62550.22,2.082141893205324e-12,,,
buy,DATA/BTC,3.3198886895900742e-18,62717.22,1.8739277038847917e-12,,,
buy,DATA/BTC,3.0204184357800127e-18,62041.99,1.6865349334963125e-12,,,
buy,DATA/BTC,2.718665802691516e-18,62035.39,1.5178814401466811e-12,,,
buy,DATA/BTC,2.4536965047073773e-18,61861.01,1.366093296132013e-12,,,
buy,DATA/BTC,2.210584214807529e-18,61797.84,1.2294839665188118e-12,,,
buy,DATA/BTC,1.9920672183911145e-18,61719.0,1.1065355698669306e-12,,,
buy,DATA/BTC,1.7905520627207566e-18,61798.57,9.958820128802377e-13,,,
buy,DATA/BTC,1.6175704768162794e-18,61566.53,8.962938115922139e-13,,,
buy,DATA/BTC,1.452758853319477e-18,61695.98,8.066644304329925e-13,,,
buy,DATA/BTC,1.3052032618624577e-18,61803.74,7.259979873896932e-13,,,
buy,DATA/BTC,1.174989783370277e-18,61787.6,6.533981886507239e-13,,,
buy,DATA/BTC,1.0636893299824866e-18,61427.54,5.880583697856515e-13,,,
buy,DATA/BTC,9.59077657495584e-19,61314.99,5.292525328070864e-13,,,
buy,DATA/BTC,8.615538544800365e-19,61430.0,4.763272795263777e-13,,,
buy,DATA/BTC,7.733023827589871e-19,61596.51,4.2869455157373996e-13,,,
buy,DATA/BTC,6.958193040837824e-19,61610.04,3.8582509641636594e-13,,,
buy,DATA/BTC,6.253793428114759e-19,61694.57,3.4724258677472933e-13,,,
buy,DATA/BTC,5.627118001275173e-19,61708.78,3.125183280972564e-13,,,
buy,DATA/BTC,5.075204073716815e-19,61577.49,2.8126649528753077e-13,,,
buy,DATA/BTC,4.578028141828854e-19,61438.35,2.531398457587777e-13,,,
buy,DATA/BTC,4.103019430578515e-19,61695.99,2.2782586118289994e-13,,,
buy,DATA/BTC,3.68805361968407e-19,61774.01,2.0504327506460995e-13,,,
buy,DATA/BTC,3.3098193408039286e-19,61949.99,1.8453894755814896e-13,,,
buy,DATA/BTC,2.981243094638917e-19,61900.0,1.6608505280233405e-13,,,
buy,DATA/BTC,2.681876630037979e-19,61928.67,1.4947654752210064e-13,,,
buy,DATA/BTC,2.4123614191122997e-19,61962.75,1.3452889276989059e-13,,,
buy,DATA/BTC,2.163016420117916e-19,62195.04,1.2107600349290152e-13,,,
buy,DATA/BTC,1.948329012843039e-19,62143.51,1.0896840314361136e-13,,,
buy,DATA/BTC,1.739320637350744e-19,62649.98,9.807156282925022e-14,,,
buy,DATA/BTC,1.5647711569301525e-19,62674.7,8.82644065463252e-14,,,
buy,DATA/BTC,1.412972484852449e-19,62467.18,7.943796589169268e-14,,,
buy,DATA/BTC,1.245937790472452e-19,63757.57,7.149416930252342e-14,,,
buy,DATA/BTC,1.114553819451305e-19,64146.0,6.434475237227108e-14,,,
buy,DATA/BTC,9.975932147008253e-20,64499.99,5.791027713504397e-14,,,
buy,DATA/BTC,8.947110045534712e-20,64725.12,5.2119249421539575e-14,,,
buy,DATA/BTC,8.048153950730687e-20,64759.26,4.690732447938562e-14,,,
buy,DATA/BTC,7.211345915815628e-20,65046.56,4.2216592031447054e-14,,,
buy,DATA/BTC,6.423971295136844e-20,65717.28,3.799493282830235e-14,,,
buy,DATA/BTC,5.756264647791936e-20,66006.23,3.419543954547211e-14,,,
buy,DATA/BTC,5.1865589455915216e-20,65930.88,3.07758955909249e-14,,,
buy,DATA/BTC,4.6729274618664385e-20,65859.99,2.7698306031832412e-14,,,
