Date,Open,High,Low,Close,Adj Close,Volume
2021-05-15,18.058353,18.749960,16.263206,16.285458,16.285458,98119947
2021-05-16,16.231916,18.171185,15.149874,15.802177,15.802177,95700729
2021-05-17,15.832070,15.832070,13.728597,14.422595,14.422595,77137584
2021-05-18,14.459295,18.808172,14.325041,18.014832,18.014832,101305145
2021-05-19,18.015734,18.041599,8.542527,11.841281,11.841281,102479020
2021-05-20,11.806718,14.071616,10.466865,12.974810,12.974810,67651699
2021-05-21,12.960296,13.756964,8.716314,10.248064,10.248064,61197737
2021-05-22,10.270463,10.844530,9.163171,9.486598,9.486598,39741680
2021-05-23,9.509077,9.844906,5.867217,7.747166,7.747166,51896501
2021-05-24,7.725337,10.741389,7.516244,10.068064,10.068064,62311762
2021-05-25,10.081246,10.436871,8.768592,9.533384,9.533384,40314263
2021-05-26,9.539465,11.176297,9.498274,10.862906,10.862906,38976936
2021-05-27,10.884106,11.595905,9.768966,10.677159,10.677159,36112151
2021-05-28,10.688360,10.871474,8.473314,8.876829,8.876829,33980990
2021-05-29,8.849260,9.294448,7.856474,8.056283,8.056283,23068610
2021-05-30,8.058355,9.005943,7.605005,8.486977,8.486977,24623624
2021-05-31,8.487873,9.426748,8.122577,9.379966,9.379966,25579227
2021-06-01,9.380548,9.567316,8.926995,9.345134,9.345134,23860607
2021-06-02,9.347118,11.360137,9.112986,10.358659,10.358659,42946105
2021-06-03,10.357587,11.038459,10.103153,10.656514,10.656514,39757357
2021-06-04,10.655093,10.655093,8.900513,9.383582,9.383582,36496535
2021-06-05,9.410330,10.174861,8.885853,9.189720,9.189720,30807555
2021-06-06,9.188894,9.478455,9.018627,9.265879,9.265879,20192132
2021-06-07,9.282335,9.919369,8.239618,8.260792,8.260792,30884203
2021-06-08,8.272093,8.676394,7.077987,8.283846,8.283846,38422812
2021-06-09,8.251043,9.757040,7.729830,9.335040,9.335040,52618975
2021-06-10,9.335429,9.390360,8.272623,8.460782,8.460782,30782811
2021-06-11,8.460573,8.654623,7.632739,7.707306,7.707306,24119193
2021-06-12,7.707502,8.211856,7.217166,7.695648,7.695648,24798670
2021-06-13,7.679320,8.380395,7.252459,8.249525,8.249525,25113496
2021-06-14,8.231717,9.209411,7.920176,8.190897,8.190897,25957681
